Action,Ticker,Open Date,Open Price,Close Date,Close Price
BUY SSO,SSO,06/30/25,97.56,,
SELL SSO,SSO,06/30/25,97.56,07/03/25,99.69
BUY SDS,SDS,07/03/25,16.44,,
SELL SDS,SDS,07/07/25,16.40,07/07/25,16.40
BUY SSO,SSO,07/07/25,99.08,,
SELL SSO,SSO,07/07/25,99.08,07/07/25,99.39
BUY SDS,SDS,07/07/25,16.44,,
SELL SDS,SDS,07/07/25,16.40,07/07/25,16.40
BUY SSO,SSO,07/07/25,99.08,,
SELL SSO,SSO,07/07/25,99.08,07/07/25,99.26
BUY SDS,SDS,07/07/25,16.44,,
SELL SDS,SDS,07/08/25,16.51,07/08/25,16.51
BUY SSO,SSO,07/08/25,99.33,,
SELL SSO,SSO,,,07/09/25,98.74
BUY SDS,SDS,07/09/25,16.43,,
SELL SDS,SDS,07/09/25,16.43,07/09/25,16.48
BUY SSO,SSO,07/09/25,99.1,,
SELL SSO,SSO,07/09/25,99.1,07/10/25,99.57
BUY SDS,SDS,07/10/25,16.43,,
SELL SDS,SDS,07/10/25,16.43,07/10/25,16.41
BUY SDS,SDS,07/18/25,16.4,,
SELL SDS,SDS,07/25/25,15.9,07/28/25,15.75
BUY SSO,SSO,07/28/25,103.52,,
SELL SSO,SSO,07/28/25,103.52,08/06/25,100.46
BUY SDS,SDS,08/06/25,16.09,,
